t,f
4.297,-84.3
4.297,-50.2
4.301,11.1
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.301,11.1
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.301,11.1
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
4.322,31.7
4.322,-15.5
4.305,55.6
4.309,94.1
4.313,99.1
4.317,81.9
