t,f
5.092,-34.7
5.092,-37.9
5.092,-42.9
5.092,-46.0
5.092,-49.1
5.092,-55.1
5.092,-56.7
5.108,-62.3
5.108,-65.0
5.108,-69.0
5.108,-71.5
5.108,-76.2
5.108,-78.4
5.108,-81.7
5.108,-83.7
5.108,-86.5
5.108,-89.8
5.123,-91.3
5.123,-93.4
5.123,-94.6
5.139,-99.8
5.139,-99.6
5.139,-98.9
5.139,-98.4
5.139,-96.8
5.139,-96.4
5.139,-94.2
5.139,-93.0
5.139,-91.7
5.139,-89.4
5.155,-84.2
5.155,-83.1
5.155,-79.0
5.155,-76.8
5.155,-73.3
5.155,-70.8
5.155,-65.7
5.155,-61.5
5.155,-58.8
5.155,-53.0
5.17,-45.2
5.17,-42.0
5.17,-35.6
5.17,-33.8
5.17,-27.1
5.17,-23.7
5.17,-20.3
5.17,-15.0
5.17,-11.5
5.186,-4.5
5.186,-2.6
5.186,4.4
5.186,7.9
5.186,11.4
5.186,16.8
5.186,20.2
5.186,27.0
5.186,28.8
5.186,35.5
5.186,38.7
5.201,46.8
5.201,49.8
5.201,55.8
5.201,60.2
5.201,65.6
5.201,68.2
5.201,72.1
5.201,74.5
5.201,79.0
5.217,80.2
5.201,46.8
5.201,49.8
5.201,55.8
5.201,60.2
5.201,65.6
5.201,68.2
5.201,72.1
5.201,74.5
5.201,79.0
5.217,80.2
5.217,82.2
5.217,86.0
5.217,87.7
5.217,90.2
5.217,91.6
5.217,94.2
5.217,94.8
5.217,96.8
5.217,97.6
5.217,98.7
5.248,91.3
5.248,89.8
5.248,87.3
5.248,85.6
5.248,81.8
5.248,80.6
5.248,76.3
5.248,74.0
5.248,71.6
5.248,67.7
5.264,58.0
5.264,52.2
5.264,49.2
5.264,44.4
5.264,41.2
5.264,38.0
5.264,31.5
5.264,29.6
5.264,22.9
5.28,10.6
5.28,3.6
5.28,0.2
5.28,-1.8
5.28,-8.8
5.28,-12.2
5.28,-21.0
5.28,-24.5
5.295,-31.2
5.295,-33.0
5.295,-42.7
5.295,-45.8
5.295,-50.6
5.295,-53.6
5.295,-59.4
5.295,-60.9
5.295,-66.3
5.295,-68.9
5.311,-72.7
5.311,-75.1
5.311,-77.3
5.311,-81.6
5.311,-82.7
5.311,-86.4
5.311,-88.1
5.311,-90.6
5.311,-92.0
5.311,-94.5
5.311,-95.6
5.326,-97.8
5.326,-98.5
5.326,-99.3
5.326,-99.6
5.326,-100.0
5.326,-99.9
5.326,-99.4
5.326,-99.0
5.326,-98.0
5.342,-97.3
5.342,-93.6
5.342,-91.0
5.342,-89.5
5.342,-86.9
5.342,-85.1
5.342,-81.2
5.342,-79.2
5.358,-75.7
5.358,-73.4
5.358,-71.0
5.358,-67.0
5.358,-64.4
5.358,-58.9
5.358,-56.0
5.358,-51.5
5.358,-48.4
5.358,-42.2
5.373,-40.4
5.373,-37.2
5.373,-27.3
5.373,-18.6
5.373,-15.1
5.373,-9.8
5.373,-6.3
5.373,0.7
5.373,4.2
5.373,6.2
5.389,13.1
5.389,16.6
5.389,25.3
5.389,32.0
5.389,35.3
5.389,37.1
5.389,43.5
5.389,46.6
5.389,51.4
5.389,54.3
5.405,60.1
5.389,21.9
5.389,25.3
5.389,32.0
5.389,35.3
5.389,37.1
5.389,43.5
5.389,46.6
5.389,51.4
5.389,54.3
5.405,60.1
5.405,62.8
5.405,67.0
5.405,69.5
5.405,72.0
5.405,75.6
5.405,77.9
5.405,82.1
5.405,84.0
5.405,86.8
5.405,88.5
5.436,98.8
5.436,98.2
5.436,97.1
5.436,96.2
5.436,94.0
5.436,92.8
5.436,90.6
5.436,89.1
5.436,85.7
5.451,84.7
5.451,78.6
5.451,76.4
5.451,72.8
5.451,70.4
5.451,65.2
5.451,63.7
5.451,55.3
5.451,52.4
5.467,50.7
5.467,44.6
5.467,41.4
5.467,36.4
5.467,33.1
5.467,26.4
5.467,23.0
5.467,21.2
5.467,14.3
5.467,10.8
5.467,5.4
5.483,1.9
5.483,-8.6
5.483,-10.5
5.483,-17.4
5.483,-20.9
5.483,-26.2
5.483,-29.5
5.483,-36.1
5.483,-39.4
5.483,-44.3
5.498,-53.4
5.498,-55.1
5.498,-58.0
5.498,-66.2
5.498,-67.6
5.498,-72.6
5.498,-75.0
5.498,-78.4
5.498,-80.6
5.514,-84.5
5.498,-53.4
5.498,-55.1
5.498,-58.0
5.498,-66.2
5.498,-67.6
5.498,-72.6
5.498,-75.0
5.498,-78.4
5.498,-80.6
5.514,-84.5
5.514,-86.3
5.514,-88.9
5.514,-90.5
5.514,-91.9
5.514,-93.9
5.514,-95.1
5.514,-97.0
5.514,-97.8
5.514,-98.8
5.529,-99.3
5.529,-99.9
5.529,-100.0
5.529,-99.9
5.529,-99.7
5.529,-99.4
5.529,-98.7
5.529,-98.1
5.529,-96.4
5.529,-95.9
5.545,-93.7
5.545,-92.4
5.545,-90.2
5.545,-87.0
5.545,-85.2
5.545,-82.2
5.545,-80.2
5.545,-75.8
5.545,-73.5
5.561,-69.7
5.561,-67.2
5.576,-13.4
5.576,-9.9
5.576,-3.0
5.576,-1.0
5.576,6.0
5.576,9.5
5.576,12.9
5.576,18.3
5.576,21.7
5.576,30.3
5.576,-9.9
5.576,-3.0
5.576,-1.0
5.576,6.0
5.576,9.5
5.576,12.9
5.576,18.3
5.576,21.7
5.576,30.3
5.592,33.7
5.592,40.2
5.592,43.3
5.592,48.2
5.592,51.2
5.592,54.2
5.592,58.7
5.592,61.4
5.592,66.8
5.592,69.4
5.592,73.2
5.623,98.9
5.623,99.4
5.623,99.7
5.623,100.0
5.623,100.0
5.623,99.3
5.623,98.8
5.623,97.9
5.639,97.1
5.623,98.9
5.623,99.4
5.623,99.7
5.623,100.0
5.623,100.0
5.623,99.3
5.623,98.8
5.623,97.9
5.639,97.1
5.639,95.2
5.639,94.6
