t,f

0.515,"-38.71

"

0.515,"-36.92

"

0.515,"-27.34

"

0.515,"-25.47

"

0.515,"-21.71

"

0.515,"-13.66

"

0.515,"-11.74

"

0.515,"-7.89

"

0.515,"-5.96

"

0.515,"4.16

"

0.515,"6.09

"

0.515,"8.02

"

0.515,"18.05

"

0.515,"19.95

"

0.515,"23.73

"

0.515,"4

"

0.515,"-43.99

"

0.515,"-42.25

"

0.515,"-38.71

"

0.515,"-36.92

"

0.515,"-27.34

"

0.531,"-25.47

"

0.531,"-21.71

"

0.531,"-13.66

"

0.531,"-11.74

"

0.531,"-7.89

"

0.531,"-5.96

"

0.531,"4.16

"

0.531,"6.09

"

0.531,"8.02

"

0.531,"18.05

"

0.531,"19.95

"

0.531,"23.73

"

0.531,"0.00

"

1.53,"-3.18

"

1.53,"-6.37

"

1.53,"-12.71

"

1.53,"-15.86

"

1.53,"-22.11

"

1.53,"-25.21

"

1.53,"-28.28

"

1.53,"-34.32

"

1.546,"-37.30

"

1.546,"-43.12

"

1.546,"-45.98

"

1.546,"-51.53

"

1.546,"-54.24

"

1.546,"-59.48

"

1.546,"-62.01

"

1.546,"-64.47

"

1.546,"-69.21

"

1.546,"-71.47

"

1.546,"-75.78

"

1.562,"-77.82

"

1.562,"-81.66

"

1.562,"-83.46

"

1.562,"-86.79

"

1.562,"-88.33

"

1.562,"-89.78

"

1.562,"-92.40

"

1.562,"-93.57

"

1.562,"-95.63

"

1.562,"-96.51

"

1.577,"-98.57

"

1.577,"-99.05

"

1.577,"-99.73

"

1.577,"-99.91

"

1.577,"-99.98

"

1.577,"-99.86

"

1.577,"-99.63

"

1.577,"-98.89

"

1.577,"-98.37

"

1.577,"-97.02

"

1.593,"-96.20

"

1.593,"-94.27

"

1.593,"-93.16

"

1.593,"-91.95

"

1.593,"-89.27

"

1.593,"-87.79

"

1.593,"-84.55

"

1.593,"-82.82

"

1.593,"-79.07

"

1.593,"-77.09

"

1.608,"-72.89

"

1.608,"-70.66

"

1.608,"-68.35

"

1.608,"-63.58

"

1.608,"-61.11

"

1.608,"-55.91

"

1.608,"-53.27

"

1.608,"-47.78

"

1.608,"-44.94

"

1.608,"-36.21

"

1.608,"-33.25

"

1.608,"-30.21

"

1.624,"-24.09

"

1.624,"-20.96

"

1.624,"-14.71

"

1.624,"-11.58

"

1.624,"-5.19

"

1.624,"-2.04

"

1.624,"1.17

"

1.624,"7.52

"

1.624,"10.71

"

1.624,"17.01

"

1.624,"20.11

"

1.64,"26.34

"

1.64,"29.38

"

1.64,"32.42

"

1.64,"38.37

"

1.64,"41.27

"

1.64,"47.02

"

1.64,"49.78

"

1.64,"55.19

"

1.64,"57.83

"

1.64,"62.90

"

1.64,"65.36

"

1.655,"67.72

"

1.655,"72.29

"

1.655,"74.43

"

1.655,"80.47

"

1.655,"82.33

"

1.655,"85.75

"

1.655,"87.35

"

1.655,"90.29

"

1.655,"91.62

"

1.655,"92.82

"

1.671,"95.02

"

1.671,"95.97

"

1.671,"97.55

"

1.671,"98.20

"

1.671,"99.21

"

1.671,"99.56

"

1.671,"99.95

"

1.671,"100.00

"

1.671,"99.94

"

1.671,"99.53

"

1.687,"99.17

"

1.687,"98.15

"

1.687,"97.48

"

1.687,"95.88

"

1.687,"94.92

"

1.687,"93.87

"

1.687,"91.50

"

1.687,"90.17

"

1.687,"87.21

"

1.687,"85.65

"

1.702,"82.17

"

1.702,"80.30

"

1.702,"74.27

"

1.702,"72.09

"

1.702,"69.83

"

1.702,"65.17

"

1.702,"62.71

"

1.702,"57.59

"

1.702,"54.94

"

1.702,"49.56

"

1.702,"46.75

"

1.718,"41.00

"

1.718,"38.14

"

1.718,"35.16

"

1.718,"29.09

"

1.718,"26.01

"

1.718,"19.87

"

1.718,"16.72

"

1.718,"10.37

"

1.718,"7.27

"

1.718,"4.08

"

1.718,"-2.33

"

1.718,"-5.54

"

1.734,"-11.82

"

1.734,"-15.00

"

1.734,"-21.30

"

1.734,"-24.33

"

1.734,"-27.42

"

1.734,"-33.52

"

1.734,"-36.53

"

1.734,"-42.33

"

1.734,"-45.21

"

1.734,"-53.48

"

1.749,"-56.16

"

1.749,"-61.34

"

1.749,"-63.84

"

1.749,"-66.20

"

1.749,"-70.87

"

1.749,"-73.09

"

1.749,"-77.25

"

1.749,"-79.25

"

1.749,"-82.99

"

1.749,"-84.68

"

1.765,"-87.92

"

1.765,"-89.40

"

1.765,"-90.79

"

1.765,"-93.25

"

1.765,"-94.36

"

1.765,"-96.29

"

1.765,"-97.08

"

1.765,"-98.42

"

1.765,"-98.93

"

1.765,"-99.66

"

1.78,"-99.87

"

1.78,"-99.99

"

1.78,"-99.90

"

1.78,"-99.71

"

1.78,"-99.02

"

1.78,"-98.52

"

1.78,"-97.24

"

1.78,"-95.54

"

1.78,"-93.46

"

1.78,"-92.31

"

1.78,"-89.65

"

1.796,"-88.24

"

1.796,"-86.63

"

1.796,"-83.26

"

1.796,"-81.49

"

1.796,"-77.62

"

1.796,"-75.62

"

1.796,"-71.27

"

1.796,"-69.06

"

1.796,"-64.28

"

1.796,"-61.72

"

1.796,"-59.25

"

1.812,"-53.96

"

1.812,"-51.32

"

1.812,"-45.72

"

1.812,"-42.94

"

1.812,"-37.06

"

1.812,"-33.98

"

1.812,"-28.07

"

1.812,"-24.88

"

1.812,"-21.86

"

1.812,"-15.57

"

1.827,"-12.49

"

1.827,"-6.11

"

1.827,"-2.81

"

1.827,"3.40

"

1.827,"9.80

"

1.827,"13.08

"

1.827,"19.21

"

1.827,"22.44

"

1.827,"28.63

"

1.827,"31.60

"

1.827,"37.61

"

1.843,"40.47

"

1.843,"46.24

"

1.843,"48.98

"

1.843,"51.83

"

1.843,"57.20

"

1.843,"59.72

"

1.843,"64.74

"

1.843,"67.07

"

1.843,"71.69

"

1.843,"73.82

"

1.858,"77.99

"

1.858,"79.89

"

1.858,"81.84

"

1.858,"85.35

"

1.858,"86.93

"

1.858,"89.91

"

1.858,"91.23

"

1.858,"93.67

"

1.858,"94.71

"

1.858,"96.57

"

1.858,"97.38

"

1.874,"98.04

"

1.874,"99.47

"

1.874,"99.75

"

1.874,"100.00

"

1.874,"99.97

"

1.874,"99.61

"

1.874,"99.28

"

1.874,"98.31

"

1.874,"97.69

"

1.874,"96.94

"

1.874,"95.22

"

1.89,"94.16

"

1.89,"91.81

"

1.89,"90.54

"

1.89,"87.63

"

1.89,"86.09

"

1.89,"82.66

"

1.89,"80.87

"

1.89,"78.88

"

1.89,"74.79

"

1.89,"72.69

"

1.89,"68.14

"

1.905,"65.83

"

1.905,"60.88

"

1.905,"58.38

"

1.905,"53.06

"

1.905,"50.23

"

1.905,"47.52

"

1.905,"41.79

"

1.905,"38.95

"

1.905,"30.02

"

1.905,"26.85

"

1.921,"20.63

"

1.921,"17.58

"

1.921,"14.51

"

1.921,"8.14

"

1.921,"4.85

"

1.921,"-1.36

"

1.921,"-4.66

"

1.921,"-11.05

"

1.921,"-14.14

"

1.921,"-17.20

"

1.937,"-23.48

"

1.937,"-26.68

"

1.937,"-32.61

"

1.937,"-35.71

"

1.937,"-41.62

"

1.937,"-44.43

"

1.937,"-50.07

"

1.937,"-52.74

"

1.937,"-58.07

"

1.937,"-60.57

"

1.952,"-63.17

"

1.952,"-68.00

"

1.952,"-70.25

"

1.952,"-74.66

"

1.952,"-76.69

"

1.952,"-80.65

"

1.952,"-82.45

"

1.952,"-87.54

"

1.952,"-89.00

"

1.952,"-90.38

"

1.952,"-92.93

"

1.968,"-94.10

"

1.968,"-96.02

"

1.968,"-96.89

"

1.968,"-98.28

"

1.968,"-98.80

"

1.968,"-99.59

"

1.968,"-99.82

"

1.968,"-100.00

"

1.968,"-99.94

"

1.968,"-99.77

"

1.968,"-99.15

"

1.984,"-98.66

"

1.984,"-97.42

"

1.984,"-96.67

"

1.984,"-94.83

"

1.984,"-93.80

"

1.984,"-91.39

"

1.984,"-90.08

"

1.984,"-88.60

"

1.984,"-85.44

"

1.984,"-83.79

"

1.984,"-80.12

"

1.999,"-78.22

"

1.999,"-74.07

"

1.999,"-71.95

"

1.999,"-64.88

"

1.999,"-62.48

"

1.999,"-57.35

"

1.999,"-54.78

"

1.999,"-51.99

"

1.999,"-46.58

"

1.999,"-43.63

"

2.015,"-37.78

"

2.015,"-34.89

"

2.015,"-28.81

"

2.015,"-25.82

"

2.015,"-19.58

"

2.015,"-16.52

"

2.015,"-13.26

"

2.015,"-6.88

"

2.015,"-3.78

"

2.015,"2.63

"

2.03,"5.73

"

2.03,"12.12

"

2.03,"15.19

"

2.03,"18.45

"

2.03,"24.71

"

2.03,"27.70

"

2.03,"33.80

"

2.03,"36.71

"

2.03,"42.59

"

2.03,"45.38

"

2.03,"51.00

"

2.046,"56.40

"

2.046,"58.94

"

2.046,"63.99

"

2.046,"66.50

"

2.046,"71.01

"

2.046,"73.29

"

2.046,"77.50

"

2.046,"79.43

"

2.046,"83.05

"

2.046,"84.94

"

2.046,"86.54

"

2.062,"89.49

"

2.062,"90.83

"

2.062,"93.39

"

2.062,"94.46

"

2.062,"96.31

"

2.062,"97.20

"

2.062,"98.47

"

2.062,"98.96

"

2.062,"99.36

"

2.062,"99.89

"

2.062,"99.99

"

2.077,"99.89

"

2.077,"99.67

"

2.077,"98.97

"

2.077,"98.48

"

2.077,"97.12

"

2.077,"96.34

"

2.077,"95.46

"

2.077,"92.12

"

2.077,"90.86

"

2.093,"88.10

"

2.093,"86.58

"

2.093,"83.09

"

2.093,"81.32

"

2.093,"77.55

"

2.093,"75.30

"

2.093,"73.22

"

2.093,"68.85

"

2.093,"66.56

"

2.093,"61.49

"

2.108,"59.01

"

2.108,"53.88

"

2.108,"50.90

"

2.108,"45.46

"

2.108,"42.67

"

2.108,"39.84

"

2.108,"33.70

"

2.108,"30.76

"

2.108,"24.79

"

2.108,"21.38

"

2.108,"15.28

"

2.108,"12.20

"

2.124,"9.11

"

2.124,"2.52

"

2.124,"-0.59

"

2.124,"-6.80

"

2.124,"-10.28

"

2.124,"-19.50

"

2.124,"-22.54

"

2.124,"-25.93

"

2.124,"-31.88

"

2.124,"-34.81

"

2.124,"-40.92

"

2.14,"-43.73

"

2.14,"-49.23

"

2.14,"-51.91

"

2.14,"-57.44

"

2.14,"-59.96

"

2.14,"-64.81

"

2.14,"-67.43

"

2.14,"-69.70

"

2.14,"-74.02

"

2.14,"-76.07

"

2.14,"-80.19

"

2.155,"-82.00

"

2.155,"-85.40

"

2.155,"-87.17

"

2.155,"-90.04

"

2.155,"-91.35

"

2.155,"-92.57

"

2.155,"-94.87

"

2.155,"-95.80

"

2.155,"-97.40

"

2.155,"-98.13

"

2.171,"-99.14

"

2.171,"-99.50

"

2.171,"-100.00

"

2.171,"-99.96

"

2.171,"-99.60

"

2.171,"-99.27

"

2.171,"-98.79

"

2.171,"-97.63

"

2.171,"-96.91

"

2.171,"-95.07

"

2.186,"-94.06

"

2.186,"-91.77

"

2.186,"-90.50

"

2.186,"-87.49

"

2.186,"-85.94

"

2.186,"-82.60

"

2.186,"-80.58

"

2.186,"-78.70

"

2.186,"-74.72

"

2.186,"-72.62

"

2.202,"-67.92

"

2.202,"-65.61

"

2.202,"-60.80

"

2.202,"-57.98

"

2.202,"-52.81

"

2.202,"-50.15

"

2.202,"-47.44

"

2.202,"-41.52

"

2.202,"-38.68

"

2.202,"-32.87

"

2.202,"-29.55

"

2.218,"-20.53

"

2.218,"-17.48

"

2.218,"-10.94

"

2.218,"-7.85

"

2.218,"-4.75

"

2.218,"1.85

"

2.218,"4.96

"

2.218,"11.15

"

2.218,"14.23

"

2.218,"20.74

"

2.218,"23.77

"

2.233,"26.77

"

2.233,"33.07

"

2.233,"35.99

"

2.233,"41.71

"

2.233,"44.52

"

2.233,"50.33

"

2.233,"52.99

"

2.233,"58.15

"

2.233,"60.96

"

2.233,"63.40

"

2.249,"68.08

"

2.249,"70.32

"

2.249,"74.86

"

2.249,"76.88

"

2.249,"80.71

"

2.249,"82.72

"

2.249,"86.05

"

2.249,"87.59

"

2.249,"90.59

"

2.249,"93.04

"

2.249,"94.14

"

2.265,"96.16

"

2.265,"96.96

"

2.265,"98.30

"

2.265,"98.82

"

2.265,"99.61

"

2.265,"99.84

"

2.265,"99.97

"

2.265,"99.92

"

2.265,"99.74

"

2.265,"99.11

"

2.28,"98.65

"

2.28,"97.35

"

2.28,"96.59

"

2.28,"94.80

"

2.28,"93.63

"

2.28,"92.49

"

2.28,"89.95

"

2.28,"88.55

"

2.28,"85.29

"

2.28,"83.63

"

2.28,"80.06

"

2.296,"77.92

"

2.296,"73.87

"

2.296,"71.74

"

2.296,"69.55

"

2.296,"62.25

"

2.296,"59.79

"

2.296,"54.37

"

2.296,"51.73

"

2.296,"46.32

"

2.296,"43.54

"

2.296,"37.51

"

2.312,"34.61

"

2.312,"31.68

"

2.312,"25.35

"

2.312,"22.33

"

2.312,"16.23

"

2.312,"13.16

"

2.312,"6.59

"

2.312,"3.49

"

2.312,"0.38

"

2.312,"-6.22

"

2.312,"-9.32

"

2.327,"-15.48

"

2.327,"-18.55

"

2.327,"-24.99

"

2.327,"-27.99

"

2.327,"-30.96

"

2.327,"-37.17

"

2.327,"-40.03

"

2.327,"-45.65

"

2.327,"-48.39

"

2.343,"-54.06

"

2.343,"-56.65

"

2.343,"-64.37

"

2.343,"-66.72

"

2.343,"-71.21

"

2.343,"-73.36

"

2.343,"-75.69

"

2.343,"-79.60

"

2.343,"-81.45

"

2.343,"-85.10

"

2.358,"-86.69

"

2.358,"-89.62

"

2.358,"-90.95

"

2.358,"-93.50

"

2.358,"-94.55

"

2.358,"-96.39

"

2.358,"-97.26

"

2.358,"-97.94

"

2.358,"-99.00

"

2.358,"-99.39

"

2.358,"-99.90

"

2.374,"-99.99

"

2.374,"-99.88

"

2.374,"-99.65

"

2.374,"-98.93

"

2.374,"-98.43

"

2.374,"-97.84

"

2.374,"-96.26

"

2.374,"-95.37

"

2.374,"-93.32

"

2.374,"-92.00

"

2.374,"-87.96

"

2.39,"-86.44

"

2.39,"-82.93

"

2.39,"-81.15

"

2.39,"-79.30

"

2.39,"-75.10

"

2.39,"-73.02

"

2.39,"-68.63

"

2.39,"-66.34

"

2.39,"-61.26

"

2.39,"-58.77

"

2.39,"-53.63

"

2.405,"-50.65

"

2.405,"-47.94

"

2.405,"-42.40

"

2.405,"-39.57

"

2.405,"-33.42

"

2.405,"-30.48

"

2.405,"-24.50

"

2.405,"-21.10

"

2.405,"-14.99

"

2.405,"-11.91

"

2.405,"-8.82

"

2.421,"-2.22

"

2.421,"0.88

"

2.421,"7.09

"

2.421,"10.58

"

2.421,"16.73

"

2.421,"19.79

"

2.421,"25.84

"

2.421,"32.16

"

2.421,"35.08

"

2.421,"40.83

"

2.421,"44.00

"

2.436,"49.49

"

2.436,"52.17

"

2.436,"57.68

"

2.436,"60.19

"

2.436,"62.64

"

2.436,"67.36

"

2.436,"69.91

"

2.436,"74.21

"

2.436,"76.26

"

2.452,"80.36

"

2.452,"82.17

"

2.452,"85.55

"

2.452,"87.12

"

2.452,"88.78

"

2.452,"91.47

"

2.452,"92.68

"

2.452,"94.96

"

2.452,"95.89

"

2.452,"97.46

"

2.452,"98.11

"

2.468,"99.17

"

2.468,"99.53

"

2.468,"99.94

"

2.468,"100.00

"

2.468,"99.81

"

2.468,"99.23

"

2.468,"98.74

"

2.468,"97.57

"

2.468,"96.84

"

2.468,"94.98

"

2.468,"93.96

"

2.483,"91.66

"

2.483,"90.37

"

2.483,"88.82

"

2.483,"85.79

"

2.483,"84.16

"

2.483,"80.41

"

2.483,"78.52

"

2.483,"74.52

"

2.483,"72.42

"

2.483,"67.71

"

2.483,"65.39

"

2.499,"63.01

"

2.499,"57.74

"

2.499,"55.18

"

2.499,"49.89

"

2.499,"47.18

"

2.499,"41.25

"

2.499,"38.40

"

2.499,"32.60

"

2.499,"29.27

"

2.515,"26.28

"

2.515,"20.24

"

2.515,"13.73

"

2.515,"7.56

"

2.515,"4.45

"

2.515,"-2.15

"

2.515,"-5.25

"

2.515,"-8.35

"

2.515,"-14.53

"

2.515,"-17.98

"

2.53,"-24.05

"

2.53,"-27.06

"

2.53,"-33.35

"

2.53,"-36.26

"

2.53,"-39.14

"

2.53,"-44.78

"

2.53,"-47.88

"

2.53,"-53.24

"

2.53,"-55.84

"

2.53,"-61.20

"

2.53,"-63.62

"

2.53,"-68.29

"

2.546,"-70.53

"

2.546,"-75.05

"

2.546,"-77.07

"

2.546,"-79.01

"

2.546,"-82.89

"

2.546,"-84.58

"

2.546,"-87.73

"

2.546,"-89.18

"

2.546,"-93.15

"

2.546,"-94.23

"

2.546,"-96.24

"

2.561,"-97.04

"

2.561,"-98.35

"

2.561,"-98.86

"

2.561,"-99.33

"

2.561,"-99.86

"

2.561,"-99.97

"

2.561,"-99.91

"

2.561,"-99.72

"

2.561,"-99.07

"

2.561,"-98.60

"

2.577,"-97.28

"

2.577,"-96.52

"

2.577,"-95.54

"

2.577,"-93.52

"

2.577,"-92.53

"

2.577,"-89.65

"

2.577,"-88.41

"

2.577,"-85.34

"

2.577,"-83.47

"

2.577,"-79.88

"

2.593,"-77.73

"

2.593,"-73.67

"

2.593,"-71.26

"

2.593,"-69.33

"

2.593,"-64.72

"

2.593,"-62.02

"

2.593,"-54.12

"

2.593,"-51.82

"

2.593,"-45.71

"

2.593,"-43.28

"

2.608,"-37.60

"

2.608,"-34.33

"

2.608,"-31.03

"

2.608,"-25.06

"

2.608,"-22.42

"

2.608,"-15.56

"

2.608,"-12.87

"

2.608,"-6.68

"

2.608,"-3.19

"

2.608,"0.31

"

2.608,"6.52

"

2.624,"9.22

"

2.624,"16.16

"

2.624,"18.84

"

2.624,"24.90

"

2.624,"28.27

"

2.624,"34.17

"

2.624,"37.44

"

2.624,"39.94

"

2.624,"46.25

"

2.624,"48.65

"

2.624,"53.98

"

2.64,"56.89

"

2.64,"61.89

"

2.64,"64.59

"

2.64,"71.69

"

2.64,"73.56

"

2.64,"75.88

"

2.64,"79.78

"

2.64,"81.84

"

2.64,"85.25

"

2.64,"86.64

"

2.64,"89.92

"

2.655,"91.07

"

2.655,"93.46

"

2.655,"94.65

"

2.655,"95.72

"

2.655,"97.33

"

2.655,"97.92

"

2.655,"99.10

"

2.655,"99.43

"

2.655,"99.90

"

2.655,"99.99

"

2.671,"99.86

"

2.671,"99.62

"

2.671,"99.35

"

2.671,"98.31

"

2.671,"97.77

"

2.671,"96.28

"

2.671,"95.28

"

2.671,"93.21

"

2.671,"91.89

"

2.671,"89.26

"

2.686,"87.63

"

2.686,"84.47

"

2.686,"80.98

"

2.686,"78.88

"

2.686,"74.91

"

2.686,"73.08

"

2.686,"68.13

"

2.686,"66.12

"

2.686,"61.33

"

2.686,"58.53

"

2.686,"55.66

"

2.702,"50.39

"

2.702,"48.03

"

2.702,"41.78

"

2.702,"39.30

"

2.702,"33.51

"

2.702,"30.19

"

2.702,"24.22

"

2.702,"20.81

"

2.702,"18.14

"

2.702,"11.23

"

2.702,"8.52

"

2.718,"2.32

"

2.718,"-1.18

"

2.718,"-7.39

"

2.718,"-10.87

"

2.718,"-13.57

"

2.718,"-20.46

"

2.718,"-23.11

"

2.718,"-29.11

"

2.718,"-35.72

"

2.718,"-41.46

"

2.718,"-43.91

"

