t,f
474.612,-1.0
474.614,2.0
474.617,6.0
474.619,12.0
474.622,16.0
474.625,20.0
474.628,21.0
474.63,20.0
474.633,20.0
474.635,21.0
474.638,26.0
474.64,27.0
474.643,26.0
474.645,29.0
474.647,29.0
474.65,32.0
474.652,33.0
474.655,32.0
474.657,33.0
474.66,35.0
474.662,37.0
474.665,48.0
474.668,52.0
474.671,47.0
474.673,50.0
474.676,52.0
474.678,54.0
474.681,61.0
474.683,59.0
474.686,55.0
474.688,58.0
474.691,58.0
474.693,60.0
474.696,61.0
474.698,63.0
474.701,68.0
474.703,67.0
474.706,68.0
474.708,69.0
474.711,73.0
474.714,71.0
474.716,74.0
474.719,78.0
474.721,84.0
474.724,86.0
474.726,88.0
474.729,91.0
474.731,92.0
474.734,92.0
474.736,93.0
474.739,96.0
474.741,108.0
474.744,112.0
474.746,103.0
474.749,112.0
474.752,101.0
474.755,101.0
474.757,101.0
474.76,100.0
474.762,104.0
474.765,89.0
474.767,83.0
474.769,76.0
474.772,73.0
474.774,75.0
474.777,66.0
474.779,66.0
474.782,62.0
474.784,56.0
474.787,50.0
474.789,45.0
474.792,38.0
474.795,33.0
474.798,30.0
474.8,27.0
474.803,22.0
474.805,18.0
474.808,13.0
474.81,9.0
474.813,6.0
474.815,3.0
474.818,2.0
474.82,7.0
474.823,0.0
474.825,-3.0
474.828,0.0
474.83,-4.0
474.832,-13.0
474.835,-16.0
474.838,-18.0
474.841,-20.0
474.843,-17.0
474.846,-23.0
474.848,-23.0
474.851,-21.0
474.853,-20.0
474.856,-19.0
474.858,-15.0
474.861,-18.0
474.863,-18.0
474.866,-21.0
474.868,-21.0
474.871,-24.0
474.873,-23.0
474.876,-23.0
474.878,-22.0
474.882,-18.0
474.884,-17.0
474.887,-16.0
474.889,-17.0
474.891,-17.0
474.894,-17.0
474.896,-16.0
474.899,-16.0
474.901,-15.0
474.904,-14.0
474.906,-13.0
474.909,-14.0
474.911,-17.0
474.914,-16.0
474.916,-15.0
474.919,-13.0
474.921,-12.0
474.925,-14.0
474.927,-7.0
474.93,-2.0
474.932,-2.0
474.935,3.0
474.937,0.0
474.94,8.0
474.942,6.0
474.945,10.0
474.947,8.0
474.95,7.0
474.952,5.0
474.954,8.0
474.957,12.0
474.959,11.0
474.962,16.0
474.964,15.0
474.968,15.0
474.97,14.0
474.973,13.0
474.975,11.0
474.978,15.0
474.98,16.0
474.983,9.0
474.985,13.0
474.988,3.0
474.99,0.0
474.993,-1.0
474.995,0.0
474.998,3.0
475.0,13.0
475.003,9.0
475.005,9.0
475.009,10.0
475.011,13.0
475.013,15.0
475.016,15.0
475.018,15.0
475.021,13.0
475.023,11.0
475.026,8.0
475.028,7.0
475.031,8.0
475.033,11.0
475.036,14.0
475.038,17.0
475.041,18.0
475.043,16.0
475.046,14.0
475.048,9.0
475.052,7.0
475.054,4.0
475.057,1.0
475.059,3.0
475.062,6.0
475.064,1.0
475.067,1.0
475.069,2.0
475.072,2.0
475.074,10.0
475.076,4.0
475.079,4.0
475.081,5.0
475.084,7.0
475.086,7.0
475.089,10.0
