t,f
1,1
268.848,0.0
268.85,0.0
268.852,0.0
268.855,0.0
268.857,0.0
268.86,-1.0
268.862,-3.0
268.865,-5.0
268.867,-7.0
268.87,-1.0
268.872,-8.0
268.875,-6.0
268.877,-1.0
268.88,0.0
268.882,8.0
268.886,19.0
268.888,39.0
268.891,52.0
268.893,74.0
268.896,98.0
268.898,125.0
268.901,149.0
268.903,178.0
268.906,179.0
268.908,176.0
268.911,163.0
268.913,147.0
268.915,122.0
268.918,102.0
268.92,83.0
268.923,69.0
268.925,54.0
268.929,40.0
268.931,28.0
268.934,19.0
268.936,12.0
268.939,9.0
268.941,7.0
268.944,6.0
268.946,4.0
268.949,2.0
268.951,0.0
268.954,5.0
268.956,5.0
268.959,-2.0
268.961,-3.0
268.964,-2.0
268.966,-1.0
268.969,0.0
268.972,3.0
268.974,0.0
268.977,0.0
268.979,0.0
268.982,0.0
268.984,0.0
268.987,0.0
268.989,1.0
268.992,2.0
268.994,1.0
268.997,6.0
268.999,1.0
269.002,2.0
269.004,3.0
269.007,5.0
269.009,2.0
269.012,2.0
269.015,2.0
269.018,2.0
269.02,3.0
269.023,5.0
269.025,6.0
269.028,6.0
269.03,5.0
269.033,12.0
269.035,6.0
269.037,7.0
269.04,15.0
269.042,10.0
269.045,13.0
269.047,14.0
269.05,16.0
269.052,18.0
269.056,23.0
269.058,22.0
269.061,22.0
269.063,21.0
269.066,22.0
269.068,20.0
269.071,26.0
269.073,21.0
269.076,20.0
269.078,21.0
269.081,22.0
269.083,23.0
269.086,23.0
269.088,24.0
269.091,25.0
269.093,31.0
269.095,27.0
269.099,29.0
269.101,30.0
269.104,30.0
269.106,29.0
269.109,29.0
269.111,29.0
269.114,30.0
269.116,40.0
269.119,35.0
269.121,37.0
269.124,40.0
269.126,42.0
269.129,44.0
269.131,46.0
269.134,47.0
269.136,48.0
269.139,51.0
269.142,52.0
269.145,50.0
269.147,53.0
269.15,54.0
269.152,55.0
269.155,56.0
269.157,55.0
269.159,59.0
269.162,58.0
269.164,60.0
269.167,60.0
269.169,61.0
269.172,69.0
269.174,63.0
269.177,65.0
269.179,75.0
269.182,68.0
269.185,69.0
269.188,71.0
269.19,68.0
269.193,67.0
269.195,63.0
269.198,59.0
269.2,55.0
269.203,60.0
269.205,56.0
269.208,49.0
269.21,46.0
269.213,43.0
269.215,39.0
269.217,35.0
269.22,32.0
269.222,27.0
269.225,23.0
269.228,19.0
269.231,15.0
269.233,13.0
269.236,11.0
269.238,6.0
269.241,4.0
269.243,1.0
269.246,0.0
269.248,-3.0
269.251,-2.0
269.253,-4.0
269.256,-12.0
269.258,-13.0
269.261,-14.0
269.263,-8.0
269.266,-8.0
269.268,-14.0
269.272,-14.0
269.274,-14.0
269.277,-13.0
269.279,-12.0
269.281,-11.0
269.284,-9.0
269.286,-9.0
269.289,-9.0
269.291,-9.0
269.294,-9.0
269.296,-9.0
269.299,-8.0
269.301,-4.0
269.304,-7.0
269.306,-8.0
269.309,-9.0
269.312,-8.0
269.315,-6.0
269.317,-3.0
269.32,-3.0
269.322,1.0
269.325,0.0
269.327,0.0
269.33,2.0
269.332,-2.0
269.335,-3.0
269.337,-5.0
269.339,-4.0
269.342,-3.0
269.344,-2.0
269.347,-1.0
269.349,-1.0
269.352,0.0
269.355,0.0
269.358,1.0
269.36,2.0
269.363,4.0
269.365,5.0
269.368,6.0
269.37,7.0
269.373,8.0
269.375,10.0
269.378,12.0
269.38,14.0
269.383,17.0
269.385,18.0
269.388,18.0
269.39,16.0
269.393,13.0
269.395,11.0
269.399,12.0
269.401,9.0
269.403,13.0
269.406,11.0
269.408,11.0
269.411,11.0
269.413,19.0
269.416,22.0
269.418,17.0
269.421,18.0
269.423,18.0
269.426,18.0
269.428,17.0
269.431,18.0
269.433,15.0
269.436,14.0
269.438,14.0
269.442,15.0
269.444,16.0
269.447,18.0
269.449,19.0
269.452,20.0
269.454,22.0
269.457,24.0
269.459,24.0
269.461,23.0
269.464,20.0
269.466,19.0
269.469,15.0
269.471,16.0
269.474,15.0
269.476,12.0
269.479,15.0
269.481,16.0
269.485,14.0
269.487,14.0
269.49,14.0
269.492,14.0
269.495,14.0
269.497,20.0
269.5,13.0
269.502,12.0
269.505,12.0
269.507,11.0
269.51,7.0
269.512,9.0
269.515,8.0
269.517,9.0
269.52,16.0
269.522,16.0
269.524,16.0
269.528,14.0
269.53,15.0
269.533,19.0
269.535,17.0
269.538,16.0
269.54,17.0
269.543,17.0
269.545,14.0
269.548,14.0
269.55,13.0
269.553,11.0
269.555,10.0
269.558,11.0
269.56,9.0
269.563,9.0
269.565,9.0
269.569,15.0
269.571,16.0
269.574,12.0
269.576,12.0
269.579,11.0
269.581,12.0
269.583,12.0
269.586,12.0
269.588,12.0
269.591,8.0
269.593,11.0
269.596,12.0
269.598,13.0
269.601,14.0
269.603,19.0
269.606,13.0
269.608,15.0
269.612,15.0
269.614,14.0
269.617,17.0
269.619,16.0
269.622,18.0
269.624,19.0
269.627,22.0
269.629,19.0
269.632,21.0
269.634,20.0
269.637,20.0
269.639,21.0
269.642,21.0
269.644,23.0
269.646,30.0
269.649,25.0
269.651,24.0
269.655,23.0
269.657,31.0
269.66,32.0
269.662,25.0
269.665,25.0
269.667,26.0
269.67,25.0
269.672,24.0
269.675,27.0
269.677,27.0
269.68,28.0
269.682,28.0
269.685,32.0
269.687,26.0
269.69,27.0
269.692,26.0
269.696,27.0
269.698,19.0
269.701,24.0
269.703,22.0
269.705,20.0
269.708,18.0
269.71,16.0
269.713,16.0
269.715,14.0
269.718,15.0
269.72,18.0
269.723,15.0
269.725,13.0
269.728,21.0
269.73,15.0
269.733,13.0
269.735,12.0
269.739,12.0
269.741,19.0
269.744,19.0
269.746,12.0
269.749,12.0
269.751,19.0
269.754,10.0
269.756,9.0
269.759,9.0
269.761,8.0
269.764,9.0
269.766,12.0
269.768,11.0
269.771,10.0
269.773,11.0
269.776,15.0
269.778,18.0
269.782,31.0
269.784,42.0
269.787,58.0
269.789,77.0
269.792,99.0
269.794,120.0
269.797,146.0
269.799,168.0
269.802,183.0
269.804,178.0
269.807,163.0
269.809,152.0
269.812,133.0
269.814,114.0
269.817,95.0
269.819,78.0
269.822,63.0
269.825,51.0
269.827,39.0
269.83,28.0
269.832,27.0
269.835,21.0
269.837,12.0
269.84,11.0
269.842,10.0
269.845,10.0
269.847,9.0
269.85,8.0
269.852,7.0
269.855,2.0
269.857,4.0
269.86,1.0
269.862,6.0
269.865,1.0
269.868,3.0
269.871,1.0
269.873,-1.0
269.876,-1.0
269.878,1.0
269.881,0.0
269.883,3.0
269.886,1.0
269.888,-3.0
269.89,0.0
269.893,0.0
269.895,7.0
269.898,1.0
269.9,2.0
269.903,4.0
269.905,4.0
269.908,4.0
269.911,5.0
269.914,12.0
269.916,6.0
269.919,7.0
269.921,9.0
269.924,11.0
269.926,12.0
269.929,11.0
269.931,13.0
269.934,12.0
269.936,12.0
269.939,13.0
269.941,12.0
269.944,15.0
269.946,15.0
269.948,17.0
269.952,18.0
269.954,18.0
269.957,17.0
269.959,18.0
269.962,19.0
269.964,20.0
269.967,21.0
269.969,21.0
269.972,20.0
269.974,20.0
269.977,20.0
269.979,21.0
269.982,23.0
269.984,25.0
269.987,26.0
269.989,34.0
269.992,26.0
269.995,26.0
269.998,33.0
270.0,29.0
270.003,33.0
270.005,34.0
270.008,36.0
270.01,36.0
270.012,39.0
270.015,32.0
270.017,42.0
270.02,39.0
270.022,41.0
270.025,42.0
270.027,43.0
270.03,41.0
270.032,43.0
270.035,45.0
270.038,45.0
270.041,45.0
270.043,48.0
270.046,55.0
270.048,51.0
270.051,47.0
270.053,50.0
270.056,51.0
270.058,52.0
270.061,53.0
270.063,55.0
270.066,56.0
270.068,57.0
270.07,58.0
270.073,59.0
270.075,69.0
270.078,64.0
270.081,67.0
270.084,68.0
270.086,68.0
270.089,66.0
270.091,64.0
270.094,61.0
270.096,56.0
270.099,55.0
270.101,51.0
270.104,50.0
270.106,46.0
270.109,42.0
270.111,37.0
270.114,36.0
270.116,31.0
270.119,28.0
270.121,26.0
270.125,20.0
270.127,16.0
270.129,11.0
270.132,8.0
270.134,5.0
270.137,3.0
270.139,2.0
270.142,2.0
270.144,-1.0
270.147,-1.0
270.149,-3.0
270.152,-4.0
270.154,-5.0
270.157,-7.0
270.159,-5.0
270.162,0.0
270.164,2.0
270.168,-3.0
270.17,1.0
270.173,-4.0
270.175,0.0
270.178,-2.0
270.18,-3.0
270.183,-4.0
270.185,-2.0
270.188,-3.0
270.19,-2.0
270.192,-4.0
270.195,-4.0
270.197,-4.0
270.2,-4.0
270.202,-2.0
270.205,-2.0
270.208,-3.0
270.211,3.0
270.213,-3.0
270.216,-3.0
270.218,-2.0
270.221,-1.0
270.223,1.0
270.226,-1.0
270.228,2.0
270.231,2.0
270.233,2.0
270.236,3.0
270.238,4.0
270.241,7.0
270.243,10.0
270.246,12.0
270.248,13.0
270.251,13.0
270.254,11.0
270.256,14.0
270.259,14.0
270.261,13.0
270.264,14.0
270.266,16.0
270.269,14.0
270.271,15.0
270.274,15.0
270.276,16.0
270.279,19.0
270.281,21.0
270.284,18.0
270.286,22.0
270.289,16.0
270.291,16.0
270.295,16.0
270.297,16.0
270.3,16.0
270.302,16.0
270.305,16.0
270.307,16.0
270.31,15.0
270.312,17.0
270.314,15.0
270.317,17.0
270.319,21.0
270.322,22.0
270.324,23.0
270.327,23.0
270.329,22.0
270.332,20.0
270.334,24.0
270.338,20.0
270.34,18.0
270.343,19.0
270.345,22.0
270.348,20.0
270.35,17.0
270.353,18.0
270.355,19.0
270.358,22.0
270.36,19.0
270.363,18.0
270.365,19.0
270.368,16.0
270.37,15.0
270.372,13.0
270.375,13.0
270.377,13.0
270.381,13.0
270.383,13.0
270.386,13.0
270.388,18.0
270.391,13.0
270.393,14.0
270.396,15.0
270.398,17.0
270.401,19.0
270.403,19.0
270.406,20.0
270.408,19.0
270.411,21.0
270.413,18.0
270.416,16.0
270.418,15.0
270.422,16.0
270.424,15.0
270.427,18.0
270.429,13.0
270.432,15.0
270.434,13.0
270.436,17.0
270.439,22.0
270.441,22.0
270.444,22.0
270.446,20.0
270.449,18.0
270.451,16.0
270.454,14.0
270.456,14.0
270.459,14.0
270.461,14.0
270.465,22.0
270.467,16.0
270.47,16.0
270.472,16.0
270.475,17.0
270.477,18.0
270.48,19.0
270.482,25.0
270.485,23.0
270.487,23.0
270.49,22.0
270.492,21.0
270.494,23.0
270.497,20.0
270.499,17.0
270.502,18.0
270.504,17.0
270.508,17.0
270.51,22.0
270.513,16.0
270.515,17.0
270.518,19.0
270.52,17.0
270.523,17.0
270.525,17.0
270.528,23.0
270.53,17.0
270.533,16.0
270.535,16.0
270.538,17.0
270.54,17.0
270.543,18.0
270.545,25.0
270.548,18.0
270.551,15.0
270.554,18.0
270.556,18.0
270.558,20.0
270.561,21.0
270.563,25.0
270.566,23.0
270.568,23.0
270.571,23.0
270.573,21.0
270.576,22.0
270.578,22.0
270.581,23.0
270.583,24.0
270.586,26.0
270.588,23.0
270.592,22.0
270.594,21.0
270.597,21.0
270.599,21.0
270.602,21.0
270.604,21.0
270.607,19.0
270.609,19.0
270.612,19.0
270.614,27.0
270.616,21.0
270.619,23.0
270.621,24.0
270.624,26.0
270.626,27.0
270.629,27.0
270.631,28.0
270.635,30.0
270.637,32.0
270.64,35.0
270.642,35.0
270.645,36.0
270.647,34.0
270.65,36.0
270.652,36.0
270.655,36.0
270.657,37.0
270.66,37.0
270.662,38.0
270.665,40.0
270.667,37.0
270.67,36.0
270.672,36.0
270.675,33.0
270.678,33.0
270.68,34.0
270.683,37.0
270.685,32.0
270.688,31.0
270.69,35.0
270.693,26.0
270.695,24.0
270.698,24.0
270.7,31.0
270.703,30.0
270.705,21.0
270.708,19.0
270.71,25.0
270.713,18.0
270.715,16.0
270.718,19.0
270.721,20.0
270.724,25.0
270.726,23.0
270.729,22.0
270.731,21.0
270.734,19.0
270.736,22.0
270.738,16.0
270.741,15.0
270.743,16.0
270.746,11.0
270.748,7.0
270.751,6.0
270.753,5.0
270.756,2.0
270.758,2.0
270.761,5.0
270.764,6.0
270.767,12.0
270.769,21.0
270.772,34.0
270.774,51.0
270.777,73.0
270.779,98.0
270.782,123.0
270.784,156.0
270.787,182.0
270.789,212.0
270.792,203.0
270.794,201.0
270.797,187.0
270.799,166.0
270.801,143.0
270.804,125.0
270.807,99.0
270.81,80.0
270.812,62.0
270.815,47.0
270.817,36.0
270.82,28.0
270.822,27.0
270.825,22.0
270.827,20.0
270.83,13.0
270.832,10.0
270.835,10.0
270.837,9.0
270.84,6.0
270.842,4.0
270.845,1.0
270.848,-1.0
270.851,-2.0
270.853,-3.0
270.856,4.0
270.858,1.0
270.86,-1.0
270.863,-1.0
270.865,-1.0
270.868,-1.0
270.87,-1.0
270.873,-2.0
270.875,4.0
270.878,1.0
270.88,2.0
270.883,6.0
270.885,5.0
270.888,5.0
270.891,6.0
270.894,6.0
270.896,7.0
270.899,7.0
270.901,12.0
270.904,8.0
270.906,7.0
270.909,7.0
270.911,8.0
270.914,9.0
270.916,9.0
270.919,8.0
270.921,9.0
270.923,9.0
270.926,16.0
270.928,11.0
270.931,13.0
270.934,17.0
270.937,13.0
270.939,14.0
270.942,22.0
270.944,16.0
270.947,16.0
270.949,15.0
270.952,23.0
270.954,23.0
270.957,19.0
270.959,20.0
270.962,21.0
270.964,22.0
270.967,25.0
270.969,23.0
270.972,25.0
270.974,20.0
270.978,24.0
270.98,24.0
270.982,26.0
270.985,28.0
270.987,30.0
270.99,28.0
270.992,29.0
270.995,29.0
270.997,31.0
271.0,32.0
271.002,35.0
271.005,37.0
271.007,47.0
271.01,41.0
271.012,42.0
271.015,47.0
271.017,42.0
271.021,44.0
271.023,45.0
271.026,46.0
271.028,47.0
271.031,48.0
271.033,50.0
271.036,52.0
271.038,54.0
271.041,58.0
271.043,61.0
271.045,63.0
271.048,64.0
271.05,68.0
271.053,65.0
271.055,67.0
